State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",4/28/2020,32,18,14,0,0,-4,4,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",4/29/2020,32,18,14,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",4/30/2020,32,17,15,0,0,-1,1,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/1/2020,32,17,15,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/2/2020,32,7,25,0,0,-10,10,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/3/2020,32,1,31,0,0,-6,6,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/4/2020,32,1,31,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/5/2020,32,1,31,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/6/2020,32,1,31,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/7/2020,32,0,32,0,0,-1,1,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/8/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/9/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/10/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/11/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/12/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/13/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/14/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/15/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,South Andaman,"South Andaman, Andaman and Nicobar Islands",5/16/2020,32,0,32,0,0,0,0,0,AN
Andaman and Nicobar Islands,Unknown,"Unknown, Andaman and Nicobar Islands",4/21/2020,1,1,0,0,1,1,0,0,AN
Andaman and Nicobar Islands,Unknown,"Unknown, Andaman and Nicobar Islands",4/22/2020,1,1,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,Unknown,"Unknown, Andaman and Nicobar Islands",4/23/2020,1,1,0,0,0,0,0,0,AN
Andaman and Nicobar Islands,Unknown,"Unknown, Andaman and Nicobar Islands",4/24/2020,1,1,0,0,0,0,0,0,AN
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/21/2020,36,31,2,3,36,31,2,3,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/22/2020,36,31,2,3,0,0,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/23/2020,42,32,7,3,6,1,5,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/24/2020,46,31,11,4,4,-1,4,1,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/25/2020,51,34,13,4,5,3,2,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/26/2020,53,35,14,4,2,1,1,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/27/2020,53,35,14,4,0,0,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/28/2020,54,36,14,4,1,1,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/29/2020,58,37,17,4,4,1,3,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",4/30/2020,61,37,20,4,3,0,3,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/1/2020,67,41,22,4,6,4,2,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/2/2020,71,43,24,4,4,2,2,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/3/2020,78,50,24,4,7,7,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/4/2020,78,50,24,4,0,0,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/5/2020,80,52,24,4,2,2,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/6/2020,80,42,34,4,0,-10,10,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/7/2020,83,40,39,4,3,-2,5,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/8/2020,99,53,42,4,16,13,3,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/9/2020,102,54,44,4,3,1,2,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/10/2020,107,58,45,4,5,4,1,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/11/2020,115,66,45,4,8,8,0,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/12/2020,115,63,48,4,0,-3,3,0,AP
